nu_Hz,N0,value
19.831932773109244,1000.0,120.80695467174795
19.831932773109244,1080.4718223181285,113.55367141205097
19.831932773109244,1167.4193588234587,106.73587730269588
19.831932773109244,1261.3637220374437,100.32742545360914
19.831932773109244,1362.867959355774,94.30373884129075
19.831932773109244,1472.5404276241222,88.64171605358837
19.831932773109244,1591.0384392721533,83.3196426935795
19.831932773109244,1719.0722018585745,78.3171081027907
19.831932773109244,1857.4090746385718,73.61492708437709
19.831932773109244,2006.8781676649664,69.19506632606438
19.831932773109244,2168.375310987435,65.04057524067787
19.831932773109244,2342.8684237322327,61.13552095902569
19.831932773109244,2531.403315241567,57.46492722582688
19.831932773109244,2735.109953041208,54.014716964345375
19.831932773109244,2955.209235202888,50.771658289459495
19.831932773109244,3193.020307691027,47.72331376212151
19.831932773109244,3449.9684705497157,44.857992690593726
19.831932773109244,3727.593720314942,42.164706295531694
19.831932773109244,4027.5599798502976,39.63312556696838
19.831932773109244,4351.665070924416,37.253541651576576
19.831932773109244,4701.851489299852,35.016828618291285
19.831932773109244,5080.218046913023,32.9144084594945
19.831932773109244,5489.032450921557,30.938218193538653
19.831932773109244,5930.744895010559,29.080678942443484
19.831932773109244,6408.002744415996,27.33466686617703
19.831932773109244,6923.6664026787275,25.693485842050084
19.831932773109244,7480.826455225086,24.15084178444778
19.831932773109244,8082.822192522714,22.70081850641137
19.831932773109244,8733.261623828437,21.3378550304975
19.831932773109244,9436.04310147889,20.056724261899937
19.831932773109244,10195.378685327301,18.852512942042726
